OTUID	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S48	S49	S5	S53	S54	S55	S6	S60	S63	S64	S67	S69	S7	S8	S9	taxonomy
179c9fdd95d889a7194cbc1793e954b7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi
82ee12d00fbf1217c10d968561329d87	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota
1b02413693292610185e5db9d26e67ed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Leotiomycetes;_o__Helotiales;_f__Hyaloscyphaceae
9e1c216ba059986a14b8458fdbe5d9ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Agaricales;_f__Tricholomataceae;_g__Mycena;_s__Mycena_leptocephala
17203ff8de2050d4fd4b630047b433f0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Microbotryomycetes;_o__Sporidiobolales;_f__Sporidiobolaceae;_g__Rhodotorula;_s__Rhodotorula_graminis
4a06f996a7917c9c27d870c6c09e781a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	k__Fungi
decc8f2e3277026d56a02a4ac5431c9b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Dothideomycetes;_o__Venturiales;_f__unidentified;_g__unidentified;_s__unidentified
e0325717ea410950020896b2e3f45442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Agaricales;_f__Entolomataceae;_g__Entoloma;_s__unidentified
70dfc90504830e18da11f86c1b3e4415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Sebacinales
1d331990c71e2e1e1beda8bf95ab8dc8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Leotiomycetes;_o__Helotiales;_f__unidentified;_g__unidentified;_s__unidentified
b0c1553b8b00b72f3c924cd7cd17abb9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota
23f19659b60e7564014cdcb50c8da6db	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	k__Fungi
beacefe2952a8b33a8696b51e7504277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	k__Fungi
8788c66e4e3a75af3631a903c659fc77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Agaricales;_f__Psathyrellaceae;_g__Psathyrella;_s__unidentified
d11a8df9b42de250d53e03ad9034f91e	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Eurotiomycetes;_o__Chaetothyriales;_f__Herpotrichiellaceae;_g__Exophiala;_s__Exophiala_moniliae
d93435df99f5b9e7b311843532a1eba4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Mortierellomycota;_c__Mortierellomycetes;_o__Mortierellales;_f__Mortierellaceae;_g__Mortierella;_s__unidentified
281727435d78231605c8c5495321149c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	k__Fungi
f61d384946a835f679d0bf592d5d8b2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Sordariomycetes;_o__Xylariales;_f__Microdochiaceae;_g__Microdochium
7fc5b687fe59a92e460be2b617d59e50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi
7d4cb9f14006076e0b76e0781809a361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	k__Fungi
2349413206e1461a9036c0e9d50abbd4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Leotiomycetes
f6d88ee9bde11b5fe1989a3407f24a52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Eurotiomycetes;_o__Chaetothyriales;_f__unidentified;_g__unidentified;_s__unidentified
3bcdcdc892096936f718f8041e16e0e3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	k__Fungi
63a5428a07839b06c30a403fd7d9d15f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Chytridiomycota;_c__Spizellomycetes;_o__Spizellomycetales;_f__Powellomycetaceae;_g__unidentified;_s__unidentified
41a2197dd7e2a9cb005fada6bd869b90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Kickxellomycota;_c__Kickxellomycetes;_o__Kickxellales;_f__Kickxellaceae;_g__Ramicandelaber;_s__unidentified
24dfd1feeed7a7e454d5bb1f89e6583a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Eurotiomycetes;_o__Chaetothyriales
1ce73c76c9ab8189b1f3adba70a25abe	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Agaricales;_f__Tricholomataceae;_g__Tricholoma;_s__Tricholoma_pessundatum
ffea3a4650d7a1c205f49292c031f8bb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi
7d9d9ad5327f14ade9085a4120740e30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	k__Fungi
3095801eecebd7b26ac550b1f72afacf	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Agaricales;_f__Psathyrellaceae;_g__Coprinellus;_s__Coprinellus_sclerocystidiosus
a4d3bcb6648b88d6a0a3d1d446d27be9	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Microbotryomycetes;_o__Microbotryomycetes_ord_Incertae_sedis;_f__Chrysozymaceae;_g__Slooffia;_s__Slooffia_cresolica
7ebbc8e7f2f3b34d8c6d2769c7c1c0fc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Mucoromycota;_c__Umbelopsidomycetes;_o__Umbelopsidales;_f__Umbelopsidaceae;_g__Umbelopsis;_s__Umbelopsis_vinacea
5f8aad381cd8d01b2697f17a52194478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	k__Fungi
e8b82455fbcddeacb1dab3ba2c8435b7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Agaricales;_f__Strophariaceae;_g__Pholiota;_s__Pholiota_spumosa
3ee1c0d84dd6a6fdc3c3eb920e9434d4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Agaricales;_f__Psathyrellaceae;_g__Psathyrella
63ebc18b35479eeaee127cb97672c40b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	k__Fungi
71b0107df68ec72ac45a6c2a35bfdd68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Eurotiomycetes;_o__Eurotiales;_f__Aspergillaceae;_g__Penicillium
2f427b83a63810c2e3ef564f41361a1e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Leotiomycetes;_o__Helotiales;_f__Dermateaceae;_g__Helgardia;_s__unidentified
bf0bc94b9af5b0b1ab8e64bd0711e5ad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Agaricales;_f__Strophariaceae;_g__Kuehneromyces;_s__Kuehneromyces_lignicola
4771f5061dd371784c17de8479deb7e7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	k__Fungi
7fc09557b63ca9abcfc38aa61a633ae2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Lecanoromycetes;_o__Lecanorales;_f__Lecanoraceae;_g__Lecanora;_s__unidentified
